VendorNumber,Brand,Price,PurchasePrice,Total_Sales_Quantity,Total_Sale_Price,Total_Purchase_Quantity,Total_Purchase_Dollars,Total_Freight_Cost
480,508,12.99,9.77,38335.0,123060.88,1427075.0,17624378.72,89286.27
9165,513,28.99,23.01,2692.0,62792.07,1077527.0,13210613.93,68054.7
9165,515,35.99,25.36,1427.0,41919.54,1077527.0,13210613.93,68054.7
12546,525,39.99,31.0,512.0,15969.09,2737165.0,24203151.05,123880.97
1392,536,12.99,9.92,243.0,2091.39,2325892.0,15573917.9,79528.99
2555,538,12.99,7.96,15596.0,116137.98,103095.0,1141947.85,5861.03
8004,539,5.79,4.2,8154.0,4400.4,1417727.0,9916770.26,50293.62
9552,543,31.99,22.72,59.0,1652.47,1372841.0,10935817.3,55551.82
3664,555,29.99,21.73,652.0,16053.77,302685.0,5960744.35,30234.420000000002
3960,567,28.99,20.71,10206.0,134252.69,5459788.0,50959796.85,257032.07
17035,592,164.99,127.99,229.0,38218.020000000004,1647558.0,24124091.56,123780.22
3960,597,27.99,21.53,8747.0,134128.08,5459788.0,50959796.85,257032.07
10754,605,16.99,9.67,526.0,4539.01,553116.0,5665501.53,28720.52
9552,607,8.49,5.74,463.0,3405.53,1372841.0,10935817.3,55551.82
12546,649,36.99,28.67,733.0,24483.66,2737165.0,24203151.05,123880.97
3924,653,29.99,21.73,3340.0,87453.76000000001,352348.0,2816661.94,14069.87
12546,661,16.99,9.99,5953.0,70366.86,2737165.0,24203151.05,123880.97
8112,664,78.99,54.01,626.0,40119.7,427867.0,9472995.2,48347.26
12546,676,10.99,8.65,13497.0,93977.82,2737165.0,24203151.05,123880.97
9165,680,18.99,13.86,2562.0,44757.60999999999,1077527.0,13210613.93,68054.7
9165,686,18.99,14.95,1477.0,23828.079999999998,1077527.0,13210613.93,68054.7
1392,693,12.99,9.35,420.0,3715.14,2325892.0,15573917.9,79528.99
12546,742,12.99,10.39,92.0,714.45,2737165.0,24203151.05,123880.97
480,743,45.99,36.5,3216.0,96280.74,1427075.0,17624378.72,89286.27
90032,753,19.99,13.79,1026.0,16631.68,12855.0,146839.55,778.25
12546,757,17.99,13.95,2667.0,43480.64,2737165.0,24203151.05,123880.97
7239,758,39.99,28.77,1246.0,32284.18,142363.0,3354958.28,16978.67
9165,759,49.99,37.0,1151.0,55668.130000000005,1077527.0,13210613.93,68054.7
1392,779,12.99,9.55,413.0,2870.79,2325892.0,15573917.9,79528.99
1392,780,12.99,9.84,283.0,1857.57,2325892.0,15573917.9,79528.99
7239,782,54.99,35.15,9148.0,151788.57,142363.0,3354958.28,16978.67
480,802,11.99,7.99,4962.0,39933.56,1427075.0,17624378.72,89286.27
12546,807,19.99,13.23,10239.0,99887.48999999999,2737165.0,24203151.05,123880.97
1128,809,17.99,13.13,1984.0,23367.92,1006122.0,13529433.08,68601.68
480,810,11.99,7.19,3153.0,24286.12,1427075.0,17624378.72,89286.27
1128,811,29.99,19.84,32064.0,253234.69999999998,1006122.0,13529433.08,68601.68
3089,812,22.99,17.03,14479.0,150325.84,186464.0,1715908.88,8549.55
8112,820,39.99,25.54,,,427867.0,9472995.2,48347.26
8112,821,38.99,27.99,8616.0,188002.23,427867.0,9472995.2,48347.26
3960,822,26.99,19.99,9900.0,143883.69,5459788.0,50959796.85,257032.07
480,824,26.99,20.76,6617.0,106394.57999999999,1427075.0,17624378.72,89286.27
6213,828,9.99,7.74,134.0,899.1,215201.0,1888333.01,9621.58
6213,831,9.99,7.46,480.0,3976.02,215201.0,1888333.01,9621.58
6213,836,9.99,7.8,183.0,1578.42,215201.0,1888333.01,9621.58
6213,838,10.99,7.96,236.0,1219.89,215201.0,1888333.01,9621.58
3960,854,15.99,11.67,2221.0,24240.84,5459788.0,50959796.85,257032.07
9165,856,29.99,21.73,191.0,3718.7599999999998,1077527.0,13210613.93,68054.7
17035,857,21.99,16.17,19674.0,199801.36,1647558.0,24124091.56,123780.22
12546,858,11.99,8.95,8677.0,57995.630000000005,2737165.0,24203151.05,123880.97
17035,859,22.99,17.29,5006.0,77401.62999999999,1647558.0,24124091.56,123780.22
9165,870,29.99,17.64,2494.0,52517.96,1077527.0,13210613.93,68054.7
12546,876,8.99,6.66,875.0,5807.54,2737165.0,24203151.05,123880.97
9165,883,499.99,390.62,27.0,10499.79,1077527.0,13210613.93,68054.7
653,892,33.99,24.99,2753.0,77269.39,154092.0,1529682.04,8014.9800000000005
480,903,24.99,18.79,9465.0,132815.31999999998,1427075.0,17624378.72,89286.27
9165,934,35.99,26.08,1990.0,55957.090000000004,1077527.0,13210613.93,68054.7
8112,942,64.99,45.45,990.0,51741.82,427867.0,9472995.2,48347.26
653,950,79.99,58.82,21.0,1439.82,154092.0,1529682.04,8014.9800000000005
9165,966,20.99,16.15,9887.0,129169.48,1077527.0,13210613.93,68054.7
9206,970,17.99,12.11,483.0,4522.11,40054.0,430945.89,2211.83
12546,971,15.99,11.42,462.0,4812.99,2737165.0,24203151.05,123880.97
480,973,19.99,11.9,157.0,1424.05,1427075.0,17624378.72,89286.27
9165,984,25.99,20.63,5482.0,99821.86,1077527.0,13210613.93,68054.7
7245,993,14.99,8.33,2.0,21.98,682042.0,7588029.9,38994.78
17035,999,114.99,89.84,692.0,61175.090000000004,1647558.0,24124091.56,123780.22
9552,1094,40.99,29.92,2616.0,85926.43000000001,1372841.0,10935817.3,55551.82
480,1099,45.99,33.33,138.0,3679.2000000000003,1427075.0,17624378.72,89286.27
480,1106,249.99,155.55,38.0,5209.79,1427075.0,17624378.72,89286.27
8112,1133,31.99,23.01,1519.0,33717.46,427867.0,9472995.2,48347.26
8352,1135,19.99,15.62,3383.0,56916.34,283260.0,2051436.01,10261.6
17035,1136,4.99,3.87,5084.0,13395.84,1647558.0,24124091.56,123780.22
8352,1174,19.99,15.87,7131.0,100689.34999999999,283260.0,2051436.01,10261.6
3924,1178,10.99,7.83,10892.0,84328.24,352348.0,2816661.94,14069.87
3924,1180,16.99,13.07,28291.0,233334.65,352348.0,2816661.94,14069.87
3924,1186,24.99,17.98,1711.0,35715.009999999995,352348.0,2816661.94,14069.87
8112,1202,31.99,19.28,6.0,95.97,427867.0,9472995.2,48347.26
2555,1212,21.99,14.38,2611.0,29106.649999999998,103095.0,1141947.85,5861.03
1128,1220,29.99,21.89,18408.0,293510.15,1006122.0,13529433.08,68601.68
9625,1226,29.99,19.99,2472.0,51293.53,56860.0,361249.21,1933.19
3664,1228,95.99,69.76,1130.0,92510.72,302685.0,5960744.35,30234.420000000002
1128,1231,12.99,9.48,35733.0,192455.16,1006122.0,13529433.08,68601.68
1128,1232,22.99,15.93,53206.0,394500.86,1006122.0,13529433.08,68601.68
1128,1233,36.99,26.27,142049.0,672819.31,1006122.0,13529433.08,68601.68
1128,1237,44.99,33.83,6658.0,179485.9,1006122.0,13529433.08,68601.68
17035,1238,4.99,3.56,9273.0,21192.530000000002,1647558.0,24124091.56,123780.22
12546,1239,49.99,39.99,3550.0,140387.63,2737165.0,24203151.05,123880.97
3960,1242,10.99,8.02,15.0,109.9,5459788.0,50959796.85,257032.07
1128,1244,17.99,12.79,7783.0,41547.92,1006122.0,13529433.08,68601.68
12546,1252,22.99,13.84,171.0,2014.8799999999999,2737165.0,24203151.05,123880.97
12546,1258,22.99,17.03,3525.0,68549.67,2737165.0,24203151.05,123880.97
1485,1269,25.99,19.11,16976.0,227255.99,105220.0,1679383.91,8497.59
1485,1271,49.99,37.59,2654.0,110672.97,105220.0,1679383.91,8497.59
12546,1273,31.99,23.19,2722.0,61050.84,2737165.0,24203151.05,123880.97
9165,1274,44.99,34.88,2.0,89.98,1077527.0,13210613.93,68054.7
12546,1278,35.99,26.71,7868.0,195511.55000000002,2737165.0,24203151.05,123880.97
8004,1281,14.99,11.19,8444.0,89673.8,1417727.0,9916770.26,50293.62
660,1282,29.99,18.7,3323.0,79257.34999999999,503931.0,3537977.55,17932.33
1128,1295,3.99,2.89,19747.0,23876.16,1006122.0,13529433.08,68601.68
4425,1296,26.99,20.6,577.0,12658.31,2640411.0,27861690.02,144929.24
3960,1304,10.99,8.33,12.0,14.99,5459788.0,50959796.85,257032.07
12546,1309,59.99,44.44,910.0,37029.97,2737165.0,24203151.05,123880.97
1128,1323,16.99,13.59,7149.0,77626.67,1006122.0,13529433.08,68601.68
6359,1328,19.99,12.49,152.0,1151.28,110162.0,387622.69,1922.0
12546,1340,21.99,14.05,1372.0,11695.509999999998,2737165.0,24203151.05,123880.97
1128,1343,165.99,122.96,244.0,33529.98,1006122.0,13529433.08,68601.68
12546,1345,37.99,28.45,12902.0,272052.08,2737165.0,24203151.05,123880.97
12546,1346,29.99,22.55,22144.0,350154.70999999996,2737165.0,24203151.05,123880.97
12546,1347,39.99,31.24,1221.0,40469.880000000005,2737165.0,24203151.05,123880.97
12546,1348,17.99,11.84,10319.0,129716.04999999999,2737165.0,24203151.05,123880.97
9165,1352,61.99,41.0,20.0,1239.8,1077527.0,13210613.93,68054.7
12546,1355,3.49,2.59,20551.0,34925.810000000005,2737165.0,24203151.05,123880.97
12546,1358,64.99,42.85,4775.0,229111.24,2737165.0,24203151.05,123880.97
12546,1359,32.99,21.87,4227.0,101105.93999999999,2737165.0,24203151.05,123880.97
9165,1361,189.99,138.68,68.0,7409.610000000001,1077527.0,13210613.93,68054.7
6213,1364,9.99,7.46,619.0,2087.91,215201.0,1888333.01,9621.58
8664,1365,7.99,6.05,5797.0,28636.16,314035.0,3666478.72,18544.49
12546,1366,1.29,0.93,54187.0,13650.78,2737165.0,24203151.05,123880.97
12546,1373,16.99,10.36,11221.0,112909.52,2737165.0,24203151.05,123880.97
12546,1375,14.49,11.5,26121.0,203013.36,2737165.0,24203151.05,123880.97
12546,1376,21.99,16.29,107061.0,426902.77999999997,2737165.0,24203151.05,123880.97
12546,1378,9.49,7.08,22033.0,130031.98,2737165.0,24203151.05,123880.97
12546,1379,14.49,11.41,13479.0,146441.94999999998,2737165.0,24203151.05,123880.97
3960,1380,49.99,34.05,6486.0,208791.13,5459788.0,50959796.85,257032.07
12546,1382,39.99,28.56,5196.0,156002.94,2737165.0,24203151.05,123880.97
3960,1384,25.99,18.93,17620.0,239842.65999999997,5459788.0,50959796.85,257032.07
12546,1385,26.99,20.45,37615.0,396827.64999999997,2737165.0,24203151.05,123880.97
3960,1386,21.99,14.59,1910.0,32067.089999999997,5459788.0,50959796.85,257032.07
12546,1388,28.99,19.22,6961.0,121781.12999999999,2737165.0,24203151.05,123880.97
12546,1389,2.99,2.18,27454.0,28387.06,2737165.0,24203151.05,123880.97
12546,1392,16.99,10.6,430.0,3725.66,2737165.0,24203151.05,123880.97
12546,1393,4.99,3.14,300.0,439.12,2737165.0,24203151.05,123880.97
12546,1394,16.49,12.68,8381.0,104122.09999999999,2737165.0,24203151.05,123880.97
12546,1395,8.99,5.88,9000.0,56148.020000000004,2737165.0,24203151.05,123880.97
12546,1396,15.99,10.44,18275.0,142786.86000000002,2737165.0,24203151.05,123880.97
12546,1397,16.99,10.76,8220.0,87668.31,2737165.0,24203151.05,123880.97
8004,1398,56.99,40.59,5339.0,164770.9,1417727.0,9916770.26,50293.62
12546,1399,36.99,27.81,380.0,11500.95,2737165.0,24203151.05,123880.97
1128,1404,89.99,64.28,5.0,489.95,1006122.0,13529433.08,68601.68
12546,1415,14.99,10.39,9981.0,78608.48,2737165.0,24203151.05,123880.97
12546,1416,24.99,19.83,66.0,1119.6,2737165.0,24203151.05,123880.97
3960,1424,14.99,9.69,12359.0,103200.08,5459788.0,50959796.85,257032.07
28750,1425,27.99,20.73,331.0,7025.49,3197.0,69803.71,342.65
7245,1464,25.99,19.22,2800.0,56336.52,682042.0,7588029.9,38994.78
1128,1465,14.99,11.02,11830.0,121614.72,1006122.0,13529433.08,68601.68
12546,1468,44.99,31.49,4288.0,132379.87,2737165.0,24203151.05,123880.97
12546,1476,21.99,16.05,15044.0,91723.62,2737165.0,24203151.05,123880.97
660,1479,11.99,9.22,9380.0,71548.14,503931.0,3537977.55,17932.33
1128,1535,3.99,3.14,5668.0,11878.230000000001,1006122.0,13529433.08,68601.68
9751,1542,29.99,22.72,440.0,8196.859999999999,205.0,4657.599999999999,24.53
1128,1545,29.99,19.42,14501.0,253424.58,1006122.0,13529433.08,68601.68
1128,1595,15.99,10.93,10189.0,100860.45,1006122.0,13529433.08,68601.68
3960,1623,14.99,10.07,9104.0,86686.37,5459788.0,50959796.85,257032.07
2561,1634,29.99,20.73,14614.0,224519.44999999998,62542.0,1882832.84,9654.5
660,1637,11.49,8.13,14560.0,79357.35,503931.0,3537977.55,17932.33
2561,1639,22.99,15.74,3602.0,61740.53999999999,62542.0,1882832.84,9654.5
3960,1657,69.99,51.46,1013.0,53822.31,5459788.0,50959796.85,257032.07
8352,1692,19.99,13.4,6318.0,89709.96999999999,283260.0,2051436.01,10261.6
6359,1715,19.99,13.76,3462.0,47699.799999999996,110162.0,387622.69,1922.0
6359,1725,19.99,14.17,3735.0,55131.799999999996,110162.0,387622.69,1922.0
17035,1728,54.99,41.35,1728.0,82529.19,1647558.0,24124091.56,123780.22
2496,1734,21.99,17.45,5007.0,76770.76999999999,18814.0,184296.5,939.27
12546,1737,51.99,34.3,16089.0,432234.78,2737165.0,24203151.05,123880.97
6359,1738,19.99,14.72,5732.0,78397.15,110162.0,387622.69,1922.0
3960,1740,59.99,40.71,318.0,14677.51,5459788.0,50959796.85,257032.07
1128,1744,21.99,17.05,1840.0,31874.879999999997,1006122.0,13529433.08,68601.68
9206,1746,26.99,19.99,2030.0,51078.53,40054.0,430945.89,2211.83
3664,1748,15.99,10.29,3291.0,42702.62,302685.0,5960744.35,30234.420000000002
17035,1758,39.99,29.76,3446.0,112773.01000000001,1647558.0,24124091.56,123780.22
3664,1760,25.99,19.69,2852.0,49673.969999999994,302685.0,5960744.35,30234.420000000002
8004,1767,24.99,19.37,16336.0,203881.09,1417727.0,9916770.26,50293.62
1128,1770,38.99,26.42,10128.0,233847.24000000002,1006122.0,13529433.08,68601.68
1128,1771,0.99,0.75,23639.0,23055.890000000003,1006122.0,13529433.08,68601.68
11567,1781,49.99,37.59,927.0,22595.65,501284.0,4141720.71,20964.81
1128,1789,22.99,17.16,20025.0,237927.50999999998,1006122.0,13529433.08,68601.68
9165,1790,27.99,15.5,79.0,967.54,1077527.0,13210613.93,68054.7
6785,1817,21.99,16.79,2772.0,50551.729999999996,375697.0,2693984.33,13605.41
1485,1835,26.99,19.7,2781.0,70471.42,105220.0,1679383.91,8497.59
12546,1836,29.99,21.73,1120.0,29965.45,2737165.0,24203151.05,123880.97
3252,1845,15.99,11.27,1315.0,13579.429999999998,1858260.0,12289608.09,61966.91
3960,1848,62.99,47.01,2242.0,99086.61,5459788.0,50959796.85,257032.07
7239,1860,59.99,46.15,257.0,12078.16,142363.0,3354958.28,16978.67
17035,1862,25.99,19.22,3274.0,61277.67999999999,1647558.0,24124091.56,123780.22
1128,1867,2.99,2.15,25571.0,26865.15,1006122.0,13529433.08,68601.68
3960,1868,66.99,49.62,7644.0,334191.73,5459788.0,50959796.85,257032.07
3960,1869,54.99,40.14,9219.0,302801.33,5459788.0,50959796.85,257032.07
3960,1870,79.99,59.69,1291.0,81749.78,5459788.0,50959796.85,257032.07
7239,1874,109.99,84.61,69.0,6489.41,142363.0,3354958.28,16978.67
7245,1875,31.99,20.71,4054.0,85714.34999999999,682042.0,7588029.9,38994.78
17035,1876,149.99,106.61,578.0,76365.04000000001,1647558.0,24124091.56,123780.22
17035,1880,63.99,46.71,1162.0,69598.11,1647558.0,24124091.56,123780.22
3960,1883,17.99,13.23,32430.0,227105.75999999998,5459788.0,50959796.85,257032.07
3960,1886,10.99,7.96,9804.0,69094.13,5459788.0,50959796.85,257032.07
3960,1892,0.99,0.72,253371.0,20741.49,5459788.0,50959796.85,257032.07
7239,1893,54.99,43.99,585.0,30859.9,142363.0,3354958.28,16978.67
17035,1896,94.99,68.83,1936.0,168558.91999999998,1647558.0,24124091.56,123780.22
8004,1920,29.99,22.55,851.0,21592.8,1417727.0,9916770.26,50293.62
3664,1921,67.99,52.71,5463.0,230498.02,302685.0,5960744.35,30234.420000000002
1128,1955,12.99,9.62,19712.0,128304.5,1006122.0,13529433.08,68601.68
3664,1956,53.99,39.99,7922.0,290627.85000000003,302685.0,5960744.35,30234.420000000002
8352,1961,34.99,23.91,5580.0,114112.04000000001,283260.0,2051436.01,10261.6
12546,1964,29.99,23.07,1462.0,37487.71,2737165.0,24203151.05,123880.97
9165,1974,37.99,29.91,,,1077527.0,13210613.93,68054.7
17031,1987,18.99,13.66,724.0,6629.49,20608.0,300403.2,1573.31
4425,1997,42.99,30.93,69.0,2263.4700000000003,2640411.0,27861690.02,144929.24
8352,2008,21.99,16.66,1388.0,23268.75,283260.0,2051436.01,10261.6
1128,2015,22.99,18.1,32969.0,303753.14999999997,1006122.0,13529433.08,68601.68
8112,2016,99.99,74.62,138.0,9688.98,427867.0,9472995.2,48347.26
17035,2017,63.99,44.77,2682.0,142021.28999999998,1647558.0,24124091.56,123780.22
1392,2024,5.99,4.44,445.0,1922.79,2325892.0,15573917.9,79528.99
3252,2026,18.99,14.61,3705.0,56818.079999999994,1858260.0,12289608.09,61966.91
6213,2027,29.99,16.66,18.0,323.85999999999996,215201.0,1888333.01,9621.58
9165,2029,68.99,51.1,311.0,18998.309999999998,1077527.0,13210613.93,68054.7
7153,2030,30.99,23.48,2023.0,50890.439999999995,424427.0,3129071.59,15884.82
7153,2035,19.99,14.28,2868.0,43128.06,424427.0,3129071.59,15884.82
12546,2036,36.99,29.13,116.0,3770.01,2737165.0,24203151.05,123880.97
17035,2041,84.99,61.14,739.0,57353.71,1647558.0,24124091.56,123780.22
3960,2043,29.99,23.07,655.0,16684.69,5459788.0,50959796.85,257032.07
9744,2047,34.99,25.36,1132.0,33895.380000000005,70932.0,759449.24,3999.93
9206,2050,64.99,49.61,258.0,13843.169999999998,40054.0,430945.89,2211.83
1128,2062,59.99,44.11,5017.0,223516.4,1006122.0,13529433.08,68601.68
3664,2082,109.99,74.07,804.0,62664.1,302685.0,5960744.35,30234.420000000002
653,2085,13.99,10.6,3394.0,36596.0,154092.0,1529682.04,8014.9800000000005
17035,2088,299.99,223.87,18.0,5399.82,1647558.0,24124091.56,123780.22
7153,2089,24.99,16.53,172.0,2616.81,424427.0,3129071.59,15884.82
6359,2097,15.99,12.11,797.0,10531.519999999999,110162.0,387622.69,1922.0
9165,2098,29.99,16.29,538.0,6243.11,1077527.0,13210613.93,68054.7
9552,2100,9.99,7.24,16564.0,84919.99,1372841.0,10935817.3,55551.82
3252,2101,5.99,4.37,532.0,2222.29,1858260.0,12289608.09,61966.91
9165,2104,69.99,50.35,166.0,7184.009999999999,1077527.0,13210613.93,68054.7
1392,2105,9.99,7.87,8362.0,56752.520000000004,2325892.0,15573917.9,79528.99
6359,2108,15.99,12.59,9.0,127.92,110162.0,387622.69,1922.0
2561,2112,26.99,15.55,394.0,5928.23,62542.0,1882832.84,9654.5
1392,2114,12.99,9.41,72043.0,229797.43,2325892.0,15573917.9,79528.99
1392,2115,7.99,4.88,431.0,1865.14,2325892.0,15573917.9,79528.99
9165,2116,41.99,27.33,1466.0,47789.590000000004,1077527.0,13210613.93,68054.7
1392,2117,8.99,5.88,15292.0,87257.53,2325892.0,15573917.9,79528.99
12546,2120,16.99,12.21,94960.0,307670.2,2737165.0,24203151.05,123880.97
12546,2121,9.99,7.8,9256.0,72366.65000000001,2737165.0,24203151.05,123880.97
12546,2122,9.99,7.8,13259.0,89541.26,2737165.0,24203151.05,123880.97
480,2123,79.99,57.96,431.0,25676.789999999997,1427075.0,17624378.72,89286.27
660,2127,10.49,7.19,86195.0,183132.56,503931.0,3537977.55,17932.33
6359,2129,18.99,13.56,52.0,702.63,110162.0,387622.69,1922.0
1189,2130,29.99,22.05,1598.0,36047.979999999996,5382.0,117928.22,609.39
1128,2131,12.99,10.15,4089.0,31695.600000000002,1006122.0,13529433.08,68601.68
8352,2132,12.99,10.23,8581.0,44604.24,283260.0,2051436.01,10261.6
660,2134,2.49,1.93,1.0,2.49,503931.0,3537977.55,17932.33
3924,2136,27.99,21.53,3158.0,69662.97,352348.0,2816661.94,14069.87
9625,2142,13.99,10.38,3369.0,42297.36,56860.0,361249.21,1933.19
1128,2143,12.99,10.07,37763.0,180374.16,1006122.0,13529433.08,68601.68
7153,2145,16.99,12.68,2451.0,35148.03999999999,424427.0,3129071.59,15884.82
1128,2148,7.99,5.96,3006.0,17460.24,1006122.0,13529433.08,68601.68
660,2149,6.99,5.34,8203.0,47950.01,503931.0,3537977.55,17932.33
3252,2152,9.99,7.19,12030.0,86822.93000000001,1858260.0,12289608.09,61966.91
12546,2155,37.99,24.05,3042.0,83155.24,2737165.0,24203151.05,123880.97
12546,2156,36.99,26.92,591.0,19362.68,2737165.0,24203151.05,123880.97
3089,2158,16.99,12.4,665.0,8715.64,186464.0,1715908.88,8549.55
12546,2159,39.99,30.53,1295.0,45184.3,2737165.0,24203151.05,123880.97
12546,2161,19.99,15.26,2923.0,43386.35999999999,2737165.0,24203151.05,123880.97
2450,2162,33.99,21.58,321.0,8664.35,2637.0,48830.78,251.28
90037,2163,24.99,14.38,350.0,4447.8099999999995,580.0,5713.1900000000005,27.98
3252,2164,16.99,12.14,24495.0,208640.77,1858260.0,12289608.09,61966.91
1128,2170,3.49,2.53,10376.0,17034.690000000002,1006122.0,13529433.08,68601.68
17035,2171,24.99,14.49,1395.0,22979.969999999998,1647558.0,24124091.56,123780.22
9625,2181,0.99,0.73,32.0,20.79,56860.0,361249.21,1933.19
12546,2182,18.99,14.17,1996.0,33167.53,2737165.0,24203151.05,123880.97
12546,2183,18.99,14.61,3098.0,53232.6,2737165.0,24203151.05,123880.97
480,2184,19.99,11.36,535.0,3808.4700000000003,1427075.0,17624378.72,89286.27
7153,2186,26.99,19.56,139.0,2463.23,424427.0,3129071.59,15884.82
9165,2189,26.99,19.83,787.0,16258.679999999998,1077527.0,13210613.93,68054.7
8663,2193,24.99,16.41,414.0,4484.62,151.0,2452.29,12.44
9165,2199,29.99,23.61,1466.0,34122.729999999996,1077527.0,13210613.93,68054.7
480,2200,19.99,10.78,493.0,3776.5,1427075.0,17624378.72,89286.27
17031,2202,29.99,23.07,1474.0,34098.63,20608.0,300403.2,1573.31
8004,2212,13.99,8.72,6516.0,40110.28,1417727.0,9916770.26,50293.62
9552,2214,29.99,21.58,1353.0,33404.37,1372841.0,10935817.3,55551.82
12546,2226,36.99,27.6,2672.0,84959.48000000001,2737165.0,24203151.05,123880.97
4425,2232,39.99,31.0,274.0,9002.69,2640411.0,27861690.02,144929.24
9165,2235,29.99,19.56,1110.0,28184.78,1077527.0,13210613.93,68054.7
9552,2237,49.99,35.71,955.0,41114.64,1372841.0,10935817.3,55551.82
9260,2238,26.99,18.93,877.0,18303.789999999997,3003.0,38921.47,198.94
8352,2239,21.99,15.78,160.0,2938.6,283260.0,2051436.01,10261.6
98450,2241,25.99,20.46,1689.0,37165.7,10463.0,168993.61,856.02
9165,2242,30.99,16.05,168.0,2374.9199999999996,1077527.0,13210613.93,68054.7
4425,2245,36.99,26.66,1064.0,34356.25,2640411.0,27861690.02,144929.24
8004,2246,18.99,13.96,2381.0,36397.259999999995,1417727.0,9916770.26,50293.62
1128,2250,12.99,9.69,3267.0,21948.19,1006122.0,13529433.08,68601.68
12546,2254,14.99,10.31,5131.0,51425.5,2737165.0,24203151.05,123880.97
480,2258,16.99,9.77,4850.0,47049.96,1427075.0,17624378.72,89286.27
4425,2262,35.99,21.2,317.0,5937.929999999999,2640411.0,27861690.02,144929.24
12546,2270,79.99,54.34,701.0,46542.939999999995,2737165.0,24203151.05,123880.97
7239,2280,36.99,27.4,2662.0,78847.89,142363.0,3354958.28,16978.67
3960,2287,38.99,29.22,6790.0,164737.73,5459788.0,50959796.85,257032.07
12546,2290,23.99,18.04,3018.0,65418.89,2737165.0,24203151.05,123880.97
9165,2292,43.99,29.99,90.0,3425.27,1077527.0,13210613.93,68054.7
